"id","filename","category","subject","status","source_url","license","source_page","verified","sha256","notes","photographer"
"df-001","data\images\defibrillator\df-001_defibrillator.jpg","medical_equipment","defibrillator","positive","","Pexels License","https://www.pexels.com/photo/defibrillator-in-hospital-8460235/","true","02d66a536b5a6b457c663b97559a0b00893e7a9ed9691379bd81367e3f9a9c85","High-resolution image of a modern defibrillator in a hospital environment","Los Muertos Crew"
"df-002","data\images\defibrillator\df-002_defibrillator.jpg","medical_equipment","defibrillator","positive","","","","false","35f4d15abe6b0f85fbd1829cb9c668f6b3312a5333a4226ea762d726d039206c","Positive corpus image",""
"df-003","data\images\defibrillator\df-003_defibrillator.jpg","medical_equipment","defibrillator","positive","","Pexels License","https://www.pexels.com/photo/close-up-photo-of-a-defibrillator-8943283/","true","75aa58f2fe50aee08537ece7238a9fcf966564bb9465bcacddc6d7a9ff3c6641","Close-up of a modern medical defibrillator with control buttons and cables","Mikhail Nilov"
"df-004","data\images\defibrillator\df-004_defibrillator.jpg","medical_equipment","defibrillator","positive","","","","false","9732f8041e23723e98b95082bf973ddb0eea85bd93808416add681d322823c73","Positive corpus image",""
"df-005","data\hard_negatives\defibrillator\df-hn-005_cpr-training-mannequin.jpg","medical_equipment","defibrillator","hard_negative","https://images.pexels.com/photos/34104785/pexels-photo-34104785.jpeg","Pexels License","https://www.pexels.com/photo/cpr-training-on-mannequin-with-instructor-34104785/","true","a81873c466067fc39336f0f7fd7fb01c90c8eb1de208950279f8de7cca260651","CPR training scene with mannequin and instructor; defibrillator is not the primary subject","Aleson Padilha"
"df-006","data\images\defibrillator\df-006_defibrillator.jpg","medical_equipment","defibrillator","positive","","","","false","d8ee1322586321bf617dc197219e1280c199ca322c4a3aeebd2cc245a514753f","Positive corpus image",""
"df-007","data\images\defibrillator\df-007_defibrillator.jpg","medical_equipment","defibrillator","positive","","","","false","be4f336259c817b1d7b764e5278ded55dd2a218e49b0f4ad373800bd742d38ad","Positive corpus image",""
"df-008","data\images\defibrillator\df-008_defibrillator.jpg","medical_equipment","defibrillator","positive","","","","false","a05fd9fb0b3b3681deba60bb977abb416bce41228290984302a7491dd11234d0","Positive corpus image",""
"df-009","data\images\defibrillator\df-009_defibrillator.jpg","medical_equipment","defibrillator","positive","","","","false","caeff987e523fd13a8275a8899148d1ce3bd4e538a462a99cb4480c114bbc702","Positive corpus image",""
"df-010","data\images\defibrillator\df-010_defibrillator.jpg","medical_equipment","defibrillator","positive","","","","false","076f6692a459706f632d271901bbf23fa19a03dd26aa064531ef0be5564e11f4","Positive corpus image",""
"df-011","data\images\defibrillator\df-011_defibrillator.png","medical_equipment","defibrillator","positive","","","","false","daed99a0b9baee25d5ec6084d1d6d044e0a640dc6bbf15bef3815ae1c4b30009","Positive corpus image",""
"df-hn-001","data\hard_negatives\defibrillator\df-hn-001_mechanical-ventilator.jpg","medical_equipment","defibrillator","hard_negative","","","","false","95d57c6c1c9cd83158e9fcbf9e41b000b048b6d314c626d83a7c987af154ea36","Hard negative for defibrillator",""
"df-hn-002","data\hard_negatives\defibrillator\df-hn-002_anesthesia-workstation.jpg","medical_equipment","defibrillator","hard_negative","","","","false","21914c04a21a0c3bf1556ced7f4685351c499d88a8622ea2d34afa91a563138c","Hard negative for defibrillator",""
"df-hn-003","data\hard_negatives\defibrillator\df-hn-003_anesthesia-workstation.jpg","medical_equipment","defibrillator","hard_negative","","","","false","fae41f55e98a2ac58d47e523e0efe0289ead81dc2516cde56a385052121010f1","Hard negative for defibrillator",""
"df-hn-004","data\hard_negatives\defibrillator\df-hn-004_ecg-machine.jpg","medical_equipment","defibrillator","hard_negative","","","","false","e167265889edb8ad39acbee042f76a45e810e60850555e71e4f9e21df15ff813","Hard negative for defibrillator",""
"hb-001","data\images\hospital_bed\hb-001_hospital-bed.jpg","medical_equipment","hospital_bed","positive","","","","false","90b8fb3b5d2538f477cc5fe47316224195f005cb4a1e0db7c98f9eaf01f51c6e","Positive corpus image",""
"hb-002","data\images\hospital_bed\hb-002_hospital-bed.jpg","medical_equipment","hospital_bed","positive","","","","false","7c6a7e4e4152e73ccc11ce52b1e60545bc9adecc4175d0ccdc6c91bff665614d","Positive corpus image",""
"hb-003","data\images\hospital_bed\hb-003_hospital-bed.jpg","medical_equipment","hospital_bed","positive","","","","false","ae6532bb4bc887d48b453ed9705dfd555b9f2385c5f1c63e26f46fecfd09fa8b","Positive corpus image",""
"hb-004","data\images\hospital_bed\hb-004_hospital-bed.jpg","medical_equipment","hospital_bed","positive","","","","false","bb3c8bd20814719b24016f6f3a31f8601fdef77fdd9fd378179367b1cedc1dc4","Positive corpus image",""
"hb-005","data\images\hospital_bed\hb-005_hospital-bed.jpg","medical_equipment","hospital_bed","positive","","","","false","24fc4d979c0e86a21dd427893633b35d3e1f66fbf614edcee3756dd6b7d6caf9","Positive corpus image",""
"hb-006","data\images\hospital_bed\hb-006_hospital-bed.jpg","medical_equipment","hospital_bed","positive","","","","false","4bc8b1b2ffa5ad1d707e610b5c99cc2ed81f1fd38f115ad2236d153eef65c976","Positive corpus image",""
"hb-007","data\images\hospital_bed\hb-007_hospital-bed.jpg","medical_equipment","hospital_bed","positive","","","","false","d4f990172ca4856e206947d92a1f2d7a984be7af2cc9e3cdac1db18a2ce174c5","Positive corpus image",""
"hb-008","data\images\hospital_bed\hb-008_hospital-bed.jpg","medical_equipment","hospital_bed","positive","","","","false","bb46f0199552b1863b12e3bc45f8961dffb090fe67d6ede6ea1e8cb1db8e5159","Positive corpus image",""
"hb-009","data\images\hospital_bed\hb-009_hospital-bed.jpg","medical_equipment","hospital_bed","positive","","","","false","7b117088f9119459b5462ab5e121c47c46316e1e1a70caf1f04abc4eb3a4c881","Positive corpus image",""
"hb-010","data\images\hospital_bed\hb-010_hospital-bed.jpg","medical_equipment","hospital_bed","positive","","","","false","972c1aa5284dbed1798ec8efb7e5bb207cd99e47688eddd53948c2bac6e0d132","Positive corpus image",""
"hb-011","data\images\hospital_bed\hb-011_hospital-bed.jpg","medical_equipment","hospital_bed","positive","","","","false","4bace5dedbde018c184d1de9b1f35214e4a587a6a7ae172d84ab17b12fa4e143","Positive corpus image",""
"hb-012","data\images\hospital_bed\hb-012_hospital-bed.jpg","medical_equipment","hospital_bed","positive","","","","false","456679f7a479236f307e195a8159e884b6fd78343f48d37747d93d64371b3be2","Positive corpus image",""
"pm-001","data\images\patient_monitor\pm-001_patient-monitor.jpg","medical_equipment","patient_monitor","positive","https://images.pexels.com/photos/5875565/pexels-photo-5875565.jpeg","Pexels License","https://www.pexels.com/photo/ecg-monitor-in-hospital-5875565/","true","77d7b138d416d3a2f6af27f8461d943e239e6a35c3055a4190809e765ce87bf5","ECG/heart-rate monitor in hospital room","Dalila Dalprat"
"pm-002","data\images\patient_monitor\pm-002_patient-monitor.jpg","medical_equipment","patient_monitor","positive","https://images.pexels.com/photos/3844581/pexels-photo-3844581.jpeg","Pexels License","https://www.pexels.com/photo/medical-equipment-on-an-operation-room-3844581/","true","f4293fd8117b7ccbbfaecbd868ce6e5454aaa1319ef8adab4bd4e36fd8a8a83b","Vital signs monitor in operating room","Anna Shvets"
